prediction_id,ticker,direction,video_id,company_name,quote,v1_verdict,v1_confidence,v1_reason,v2_verdict,v2_confidence,v2_reason,v2_suggested_ticker,input_tokens,output_tokens,call_cost_usd,quote_located,run_at
612335,SPY,bullish,9t2qc-I3ki4,State Street SPDR S&P 500 ETF Trust,"Now, again, we're seeing a big shift happening. This shift is not going to slow down in 2026. is going to accelerate. Could we see a bubble bursting? Absolutely. But that doesn't mean that this trend is going to go away.",MIS_ATTRIBUTION,0.85,"The quote discusses AI trends and potential bubble dynamics without any mention of SPY, the S&P 500 ETF, or broad market indices — it appears to be about AI sector investments specifically.",MIS_ATTRIBUTION,0.85,"The quote discusses the AI theme and potential bubble, with no reference to the broad S&P 500 index or SPY; a more fitting ticker would be an AI/tech ETF like QQQ, but the speaker never references the S&P 500 at all.",,996,97,0.004443,True,2026-04-19T11:30:03Z
606843,HSBC,bullish,d7870okaMLk,HSBC Holdings PLC,the third company hon which was spun off from GSK in 2022 is relatively unchanged it could perhaps be a takeover Target in the future so I'm happy to hold for the long term,MIS_ATTRIBUTION,0.99,"The quote discusses 'hon' (Haleon), a company spun off from GSK in 2022, with no mention of HSBC anywhere in the surrounding context.",MIS_ATTRIBUTION,0.95,"The quote discusses 'hon' (Haleon, spun off from GSK in 2022) and various UK consumer/pharma companies, with no mention of HSBC or any banking/financial theme that would link to HSBC Holdings PLC.",,950,94,0.00426,True,2026-04-19T11:30:07Z
612350,TLT,bullish,gP51LjAtMgI,,"We know that we're going to see more money spending. We're going to see more money printing. We're going to see lower interest rates in 2026. How come? Well, Jerome Powell, who is the current chairperson at the Federal Reserve Bank, is going to see his term end. President Trump wants to replace Jerome Powell with somebody who wants to cut interest rates drastically.",UNCERTAIN,0.55,"The quote discusses lower interest rates which would benefit TLT (long-term Treasury bond ETF), but the surrounding context focuses broadly on owning assets, mortgage rates, and real estate without specifically mentioning TLT or Treasury bonds.",REAL_ATTRIBUTION,0.85,"TLT is the long-duration Treasury ETF and directly benefits from lower interest rates, making it a valid macro/commodity-style ETF proxy for the speaker's explicit prediction of lower interest rates in 2026.",,1059,79,0.004362,True,2026-04-19T11:30:09Z
612509,TLT,bullish,ZArAoM12aVE,,"I suspect next time the argument for cutting, unless we do see a big spike in energy, which persists, um I expect that that'll um be more likely that we'll see a cut at the next meeting.",UNCERTAIN,0.55,"The quote discusses UK interest rate cuts (likely Bank of England), which would be bullish for UK gilts but not directly for TLT (US Treasury ETF), making the attribution to TLT plausible only if the broader rate-cut narrative is being applied, but no specific mention of TLT, US Treasuries, or iShares is made.",REAL_ATTRIBUTION,0.85,"A prediction that central banks will cut rates at the next meeting is a macro interest rate call that directly implies long-duration bond prices rise, making TLT (long treasuries ETF) a valid thematic/macro proxy.",,1010,80,0.00423,True,2026-04-19T11:30:13Z
608408,IONQ,bullish,d6-NhcMrUaY,IONQ Inc,and then we'll just add another pick here onto Innovation which entered our top seven chip stock Holdings last year we have high hopes for that one,UNCERTAIN,0.55,"The quote references an unnamed 'Innovation' stock that entered their top seven chip holdings, which could be IonQ but the company is never explicitly named, making attribution uncertain.",MIS_ATTRIBUTION,0.75,"The quote refers to an unspecified 'Innovation' chip stock pick added to their top seven holdings, but there is no implicit or explicit link to IONQ specifically — the context focuses on semiconductor equipment and chip stocks (NVIDIA, Broadcom, TSMC, ASML, etc.) with no mention of quantum computing or IONQ.",,940,112,0.0045,True,2026-04-19T11:30:17Z
612776,TBT,bullish,oy8az0QtgTg,,My bigger concern is rising interest rates because I think that's something that's going to continue and that can heavily damage the economy and of course the stock market even further. The fed has literally told you when they plan to stop raising interest rates it's probably going to be sometime next year maybe even to the end of next year.,UNCERTAIN,0.55,"The quote discusses rising interest rates broadly (which is bullish for TBT, an inverse Treasury ETF) but never explicitly mentions TBT, its underlying assets, or any specific product, making it a general macro commentary that could apply to TBT but isn't directly attributed to it.",REAL_ATTRIBUTION,0.92,"TBT is the inverse/leveraged short Treasury ETF, making it a direct macro proxy for a bullish view on rising interest rates continuing — fitting the commodity/macro ETF pattern.",,989,73,0.004062,True,2026-04-19T11:34:39Z
612851,SH,bullish,8T1Fm2f7xh0,,if something really breaks in 2023 with all the tightening and everything we have and in my opinion there's a very high probability of this actually happening in my opinion at least investors are going to go back to bonds.,UNCERTAIN,0.55,"The quote discusses investors moving to bonds/treasuries during a crisis, which could relate to SH (ProShares Short S&P500 ETF) as a bearish/safety play, but SH is never mentioned by name, ticker, or product description in the surrounding context.",MIS_ATTRIBUTION,0.92,"The speaker is bullish on bonds/treasuries for safety, which maps to TLT (long treasuries ETF), not SH (inverse S&P ETF), which has no thematic or implicit link to the quote.",TLT,950,90,0.0042,True,2026-04-19T11:34:43Z
612932,SH,bearish,FP5G4E07WCM,,"The market hasn't crashed not because risk disappeared, but because of a mix of future earnings hope, continued liquidity, AI optimism. These forces can delay or soften a downturn, but they don't eliminate the risk.",MIS_ATTRIBUTION,0.85,"The quote discusses broad market conditions and risks without any mention of SH (ProShares Short S&P500 ETF) by name, ticker, or product description, making it a general market commentary rather than specific to SH.",REAL_ATTRIBUTION,0.82,"SH is an inverse S&P ETF that profits when the market declines, making it a valid thematic proxy for a bearish macro outlook warning of overvaluation, bubble conditions, and elevated downside risk in the broad market.",,964,88,0.004212,True,2026-04-19T11:34:45Z
608445,VTR,bullish,AakV_J-G8hs,"Ventas, Inc.",in the real estate category I only have one holding this one has had a bit of a recovery over the past month V has underperformed so far this year but there's reason to be bullish on this stock,MIS_ATTRIBUTION,0.85,"The quote refers to a real estate holding abbreviated as 'V' which is ambiguous, but the surrounding context discusses a personal portfolio with companies like Costco, Texas Roadhouse, and Canadian Pacific — there is no explicit mention of Ventas (VTR), and 'V' more likely refers to Visa or another ticker rather than VTR.",REAL_ATTRIBUTION,0.85,The speaker references a single real estate holding that has underperformed and is bullish on it; VTR (Ventas) is a REIT that fits the implicit reference to a specific real estate holding being discussed.,,966,85,0.004173,True,2026-04-19T11:34:48Z
609858,QQQ,bearish,6k3g4CinbdA,,but many grow stocks like the quantum AI the sound hound. a and so many others are down 20 30 40 50 even 60% year to date or from their all-time high it's been a disaster it's been really really bad for the gross companies,MIS_ATTRIBUTION,0.75,"The quote discusses individual growth stocks (quantum AI, SoundHound) and mentions NASDAQ broadly, but never specifically references QQQ by name or ticker, making this a general market commentary rather than a QQQ-specific prediction.",REAL_ATTRIBUTION,0.85,"The speaker explicitly mentions the NASDAQ being down ~6% YTD and discusses growth stock underperformance, making QQQ (NASDAQ-tracking ETF) a valid thematic/index proxy for the bearish sentiment expressed about growth/tech stocks.",,1014,88,0.004362,True,2026-04-19T11:34:50Z
608441,MCO,bullish,AakV_J-G8hs,Moody's Corporation,Moody's is up 23% and the performance of this portfolio has been strong with every company either flat or moving up into the green every company has been growing their earnings in free cash flow per share,MIS_ATTRIBUTION,0.9,"The surrounding context discusses a portfolio of multiple companies (Chipotle, Texas Roadhouse, Canadian Pacific, etc.) and the quote about 'every company either flat or moving up into the green' refers to the entire portfolio, not specifically to MCO/Moody's, and Moody's is not mentioned in the visible transcript context.",REAL_ATTRIBUTION,0.92,"The quote explicitly names Moody's as being up 23% and part of a portfolio being reviewed, making this a direct reference to MCO (Moody's Corporation).",,955,75,0.00399,True,2026-04-19T11:34:53Z
610821,VCI,bullish,_eL1o-pB01c,,Blackstone is Fielding offers for half of its interest in the real estate of the Bellagio Hotel in Las Vegas. I think it's incredibly likely that Vichy is on the phone trying to work out a deal that makes sense for the shareholder. I would give the odds right now around 60 percent I think that's the chance that Vichy ends up buying this.,MIS_ATTRIBUTION,0.95,"The extracted quote discusses Blackstone, the Bellagio Hotel, and 'Vichy' (likely Vici Properties, ticker VICI), with no connection to VCI (Valassis Communications/Vericast), and the surrounding transcript context is about Seth Klarman, Microsoft, and bubble markets — not VCI.",RETAG,0.82,"The quote discusses Vici Properties (a REIT) potentially acquiring Blackstone's real estate interest in the Bellagio, but VCI is Viad Corp (a services company), not Vici Properties (VICI); however, since the actual subject is a real estate/REIT transaction, the appropriate sector ETF would be VNQ, and the correct ticker should have been VICI not VCI.",VNQ,945,132,0.004815,False,2026-04-19T11:34:56Z
612527,MSFT,bullish,Z7VEClGH6wE,Microsoft Corporation,"The US is big for a reason. It's really good at growing earnings. If you look at the Magnificent 7, they're just cash generating machines. They've been hugely successful and they're likely to remain successful.",MIS_ATTRIBUTION,0.85,"The quote discusses the 'Magnificent 7' as a group broadly without specifically mentioning Microsoft, and the surrounding context focuses on index composition and Meta's weighting, making attribution to MSFT specifically unsupported.",RETAG,0.85,"The speaker is discussing the Magnificent 7 as a group of cash-generating machines, which is a broad tech theme better represented by QQQ than a single-stock attribution to MSFT specifically.",QQQ,1035,82,0.004335,True,2026-04-19T11:34:59Z
611818,HYG,bearish,Bx5243QljUc,,"The collapse of two companies, First Brands and Tricolor, they say may signal deeper financial risks. $2 trillion warning, cracks are starting to show in the leveraged loan market, specifically referring to these two firms that recently collapsed.",MIS_ATTRIBUTION,0.85,"The quote discusses the private credit/leveraged loan market and specific company collapses (First Brands, Tricolor) without mentioning HYG or high-yield bond ETFs specifically, though HYG could be tangentially related as a high-yield instrument.",REAL_ATTRIBUTION,0.85,"HYG is the high-yield corporate bond ETF and serves as a direct proxy for credit market stress/leveraged loan risk, making it a valid thematic/macro ETF attribution for a bearish call on the $2 trillion private credit and leveraged loan market.",,997,96,0.004431,True,2026-04-19T11:35:02Z
