id,source,ticker,direction,target,outcome,source_verbatim_quote,context,human_verdict
632700,x,LAB,bullish,30.0,pending,"right now, $LAB has a $7B market cap and a $15B FDV. if #LAB goes up to $30, which is my liquidation price, that would mean its market cap reaches $14B and its FDV hits $30B, surpassing solana. holy shit. https://t.co/g7Xxd62Ne6 https://t.co/kmxKdIuqDu","@maxpot216: right now, $LAB has a $7B market cap and a $15B FDV. if #LAB goes up to $30, which is my liquidation price, that would mean its market cap reaches $14B and its FDV hits $30B, surpassing solana. holy shit. https://t.co/g7Xxd62Ne6 https://t.co/kmxKdIuqDu",
630568,x,MGNI,bullish,20.0,pending,,@marcjacksonla: $MGNI -BTIG initiates Magnite coverage with a Buy rating on CTV growth -Sets $20 target https://t.co/oJD0H0JyQB,
633436,x,AAPL,bullish,308.0,pending,Source Friday trade ideas 5/22 If $AAPL holds 305 → next target 308 If not → no trade If $AMD holds 450 → next target 480 If not → no trade If $SPY holds 743 → next target 747 If not → no trade,@source_options: Source Friday trade ideas 5/22 If $AAPL holds 305 → next target 308 If not → no trade If $AMD holds 450 → next target 480 If not → no trade If $SPY holds 743 → next target 747 If not → no trade,
611293,youtube,SH,bearish,,pending,"We need to make sure that between then and now, we don't end up in a V-shaped recession hole. And that's where the bull bear scale comes in.",,
615914,youtube,MACRO,bullish,,pending,all of a sudden you actually have software that can be sold into more organizations or more departments because the AI will solve the problem that prevented other companies from not being able to deploy it before so right so all of a sudden like I'm I'm a small business and I can have a contract management system because I never would have paid for somebody to go and like review all my contracts but now ai is doing it so I'm in the market of that of that category of software in a way that I wasn,,
616582,youtube,SBUX,bullish,55.0,unresolved,if they grow at just seven percent per year and they have a p of 15 which is low for a company like this the intrinsic value conservatively would be 55. if they grow at 9 and 20 pe then we are at the present value of 79 for a 10 return so maybe just still a little bit expensive to put it into our portfolio let me know when we are at 55 and then it might be very very interesting,,
614534,youtube,SOFI,bullish,,pending,"Would SoFi SoFi benefit from the refi boom? And sure. I mean like like I mean you're asking like two two like we're this is a big ask. Okay. I'm not going to go into upstart right now. We've done Upstart analysis before. Upstart's like a nice referral business for lenders, but yeah, I mean, SoFi, as long as SoFi, as long as there's no recession, SoFi can keep raising money and lending it.",,
608314,youtube,TSLA,bearish,,miss,"I've actually been locking in some profits on Tesla's stock just because like this whole situation, whether whether I agree or disagree with any of it socially, politically, putting all of that aside, the whole situation has just become a bit too volatile and political in my opinion, which is something that I never really like to see in a stock that I own because it can potentially alienate part of your customer b customer base, which in the case of Tesla is also happening happens to be occurring during a very challenging time for them where they not only as a stock hold a very rich valuation forward P ratio is like almost a,000% higher than the sector but they're also facing you know a delivery growth slowdown that has even turned negative in some cases and although um I am still holding much of my position long-term for their future potential and all the technologies that they have and on the impressive work they do. It's still something that I just felt like I need to be locking in some profits here because um it's very hard to predict how some of this stuff is going to play out.",,
625225,youtube,MELI,bullish,,pending,"I see personally at least a double over the next 5 years, maybe even a little bit more",,
611795,youtube,NVDA,bullish,,pending,"Our plan is going to be to continue to get data center hardware exposure from our largest position, which is Nvidia. They're the undisputed leader in a critical data center component, perhaps the most important, right?",,
633767,x,ZAMA,bullish,,pending,🟢LONG $ZAMA WITH ME GUYSS ❌SL: 0.03272 💵TP: 0.03477 - 0.03545 https://t.co/1ZKLI7LsHd,@powell_signal: 🟢LONG $ZAMA WITH ME GUYSS ❌SL: 0.03272 💵TP: 0.03477 - 0.03545 https://t.co/1ZKLI7LsHd,
