status,handle,forecaster,fc_id,fc_platform,ticker,direction,kind,target,window_days,tweet_date,source_url,quote
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ASTS,bullish,position_disclosure,,365,2026-06-01,https://x.com/AsafNaamani/status/2061508770153288075,"$ASTS

ADDED to my position today at $104.65.

At the same time, I raised my stop on the entire position to protect my gains.

That’s how I prefer to manage winners:

Add when the setup justifies it.
"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ASTS,bullish,price_target,155.45,90,2026-06-02,https://x.com/AsafNaamani/status/2061810286852534369,"$ASTS

Shared my first position at $67.

Price then ran to $133.

Last session, I shared adding again at $104.65 after the successful retest of $102.79.

Price is up +8% today from that add.

Wave 5 t"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,MP,bullish,price_target,178.8,365,2026-06-02,https://x.com/AsafNaamani/status/2061839340162933215,"$MP | IMPORTANT TO WATCH

Right now, everyone should be watching one level:

$72.93.

It is both the Wave B high and part of the battle against the downtrend.

Clear it, and the path toward the next t"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,IREN,bullish,price_target,151.45,90,2026-06-03,https://x.com/AsafNaamani/status/2062134488449064982,"Technically:

$IREN flipped the $58.75-$63.59 zone into support.

Price is now +6% pre-market.

The breakout held.
The retest held.
That is bullish.

Our Wave 3 price target remains UNCHANGED:
$151.45"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,CIFR,bullish,price_target,46.01,90,2026-06-03,https://x.com/AsafNaamani/status/2062137389162656247,"$CIFR | +125% Gain

Closed last session ABOVE all-time highs. 

The bears were focused on the noise.
The bulls were focused on making gains.

+125% since our shared reversal zone.

And more room to th"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ONDS,bullish,position_disclosure,,365,2026-06-03,https://x.com/AsafNaamani/status/2062198184080822343,"$ONDS 

Added to my long term position today at $11.71."
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,IREN,bullish,price_target,151.45,90,2026-06-04,https://x.com/AsafNaamani/status/2062555909746774220,"$IREN | Bullish Setup Update

Price continues to hold the important $58.75-$63.59 zone, and buyers are clearly defending it so far.

Holding this area and flipping $63.59 into support would be a stron"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ONDS,bullish,price_target,24.27,90,2026-06-04,https://x.com/AsafNaamani/status/2062557676278526432,"$ONDS | Bullish Setup Update

Yesterday’s pullback was tough. But in this market, things can change very fast.

Price broke out the major $11.20-$11.70 resistance zone, ran to $14.33, and then came ba"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ASTS,bullish,price_target,145.45,90,2026-06-04,https://x.com/AsafNaamani/status/2062579105724330325,"$ASTS | Bullish Wave Update

Bulls continue to defend the $102.70 level, which was the 2025 high.

Holding above this level is a bullish sign and keeps the structure intact.

As long as buyers continu"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,CIFR,bullish,price_target,46.01,90,2026-06-04,https://x.com/AsafNaamani/status/2062580176001646679,"$CIFR | Bullish Setup Update

Very straightforward here.

Price broke above its all-time high, pulled back, and buyers are already stepping in.

$25.19 is the key breakout level to watch.

Wave 5 targ"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ONDS,bullish,price_target,24.27,90,2026-06-08,https://x.com/AsafNaamani/status/2063959045875118191,"$ONDS | Update

First, the bullish structure is definitely still intact.

I have a position, and I don’t plan to sell as long as the structure holds.

Last session closed right above the Volume Profil"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,IREN,bullish,price_target,151.45,90,2026-06-08,https://x.com/AsafNaamani/status/2063960859190174168,"$IREN | Bullish Setup Update

The bullish structure is definitely INTACT, while long term wave 3 target is $151.45.

I have a position.

It wasn’t fun last session, but buyers stepped in before the cl"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,ASTS,bullish,price_target,155.45,90,2026-06-08,https://x.com/AsafNaamani/status/2063962725353427415,"$ASTS | Bullish Wave Update

Price printed a new all-time high, hit Fib level 1 of the uptrend wave, and then pulled back.

Hitting Fib 1 and pulling back is something that happens many times in stron"
WOULD_INSERT,AsafNaamani,Asaf Naamani,9809,institutional,CIFR,bullish,price_target,46.01,90,2026-06-08,https://x.com/AsafNaamani/status/2064000441143234815,"$CIFR | Bullish Setup Update

$CIFR broke out to a new all-time high, pulled back, and found support at the $22.97 level +MA21.

The breakout price is $25.52.

Long term wave 3 target is $46.01. https"
WOULD_INSERT,CAGThe3rd,Carlos Garcia Tapia,9767,institutional,TSLA,bullish,price_target,450.0,90,2026-05-23,https://x.com/CAGThe3rd/status/2058330624457343399,"$TSLA gapping up. 

$433

Let’s open it $450+ on Tuesday https://t.co/lVnDc2DPDt"
WOULD_INSERT,CAGThe3rd,Carlos Garcia Tapia,9767,institutional,TSLA,bullish,price_target,500.0,90,2026-05-25,https://x.com/CAGThe3rd/status/2058992631724536123,"Can't be more beautiful than this. 

$TSLA wants $500. https://t.co/CjE39FDCvM"
DUP_SKIP,CAGThe3rd,Carlos Garcia Tapia,9767,institutional,TSLA,bullish,price_target,450.0,90,2026-05-26,https://x.com/CAGThe3rd/status/2059287018375364860,$TSLA 433.89 and it rips to $450
